file1,"pk;id_volcan;est;componente;code_macroevent;code_event;id_tecnica;fecha_pick;autor;t_p;t_s;c_p;c_s;inicio;snr;polar;fecha_cr;descrip;label_event;amplitud;coda;frecuencia
53;99;FRE;Z;20171117_061222.172 ;FREZ17-11-2017_06:12:17.970;MJo;2021-08-03 17:13:03.109 ;4Testing;2017-11-17T06:12:22.392Z;2017-11-17T06:12:22.622Z;0;0;0;-6.5136;nn;0025-07-2T 00:00:00Z; ;LP;5.814;2017-11-17 06:12:30 ;2.4098
54;99;SHG;Z;20171117_063924.042 ;SHGZ17-11-2017_06:39:20.118;MJo;2021-08-03 17:13:03.111 ;4Testing;2017-11-17T06:39:24.042Z;2017-11-17T06:39:24.222Z;0;0;0;21.2477;nn;0025-07-2T 00:00:00Z; ;OT;2.9492;2017-11-17 06:39:40 ;6.0535
55;99;FRE;Z;20171117_090321.462 ;FREZ17-11-2017_09:03:17.684;MJo;2021-08-03 17:13:03.112 ;4Testing;2017-11-17T09:03:21.462Z;2017-11-17T09:03:21.912Z;0;0;0;13.3205;nn;0025-07-2T 00:00:00Z; ;LP;2.3943;2017-11-17 09:03:26 ;7.4098
56;99;SHG;Z;20171117_102847.375 ;SHGZ17-11-2017_10:28:19.724;MJo;2021-08-03 17:13:03.114 ;4Testing;2017-11-17T10:28:47.375Z;2017-11-17T10:28:51.796Z;0;0;0;-4.7054;nn;0025-07-2T 00:00:00Z; ;OT;2.563;2017-11-17 10:28:28 ;1.6181
57;99;SHG;Z;20171117_102934.818 ;SHGZ17-11-2017_10:28:46.155;MJo;2021-08-03 17:13:03.115 ;4Testing;2017-11-17T10:29:34.818Z;2017-11-17T10:28:51.823Z;0;0;0;-0.071167;nn;0025-07-2T 00:00:00Z; ;OT;2.563;2017-11-17 10:28:56 ;1.6275
58;99;FRE;Z;20171117_103336.999 ;FREZ17-11-2017_10:32:42.923;MJo;2021-08-03 17:13:03.116 ;4Testing;2017-11-17T10:33:36.999Z;2017-11-17T10:32:46.742Z;0;0;0;-0.80613;nn;0025-07-2T 00:00:00Z; ;OT;2.016;2017-11-17 10:32:51 ;4.1967
59;99;SHG;Z;20171117_111015.282 ;SHGZ17-11-2017_11:10:12.967;MJo;2021-08-03 17:13:03.117 ;4Testing;2017-11-17T11:10:15.282Z;2017-11-17T11:10:17.523Z;0;0;0;16.9279;nn;0025-07-2T 00:00:00Z; ;OT;2.0326;2017-11-17 11:10:22 ;2.796
60;99;FRE;Z;20171117_111015.282 ;FREZ17-11-2017_11:10:11.772;MJo;2021-08-03 17:13:03.118 ;4Testing;2017-11-17T11:10:15.742Z;2017-11-17T11:10:16.742Z;0;0;0;13.5815;nn;0025-07-2T 00:00:00Z; ;OT;3.4076;2017-11-17 11:10:22 ;1.5574
61;99;FRE;Z;20171117_131304.482 ;FREZ17-11-2017_13:13:00.776;MJo;2021-08-03 17:13:03.119 ;4Testing;2017-11-17T13:13:04.482Z;2017-11-17T13:13:05.192Z;0;0;0;12.8645;nn;0025-07-2T 00:00:00Z; ;OT;2.5852;2017-11-17 13:13:09 ;3.1148
62;99;SHG;Z;20171117_131304.482 ;SHGZ17-11-2017_13:13:02.559;MJo;2021-08-03 17:13:03.121 ;4Testing;2017-11-17T13:13:04.652Z;2017-11-17T13:13:06.983Z;0;0;0;9.0799;nn;0025-07-2T 00:00:00Z; ;LP;2.4867;2017-11-17 13:13:11 ;4.7262
